run_id,created_utc,category,workload,kind,iters,valid,simInsts,numCycles,cpi,arith_ipb,elf_archived,elf_sha256,record_json,stats_file,opmix_file,opmix_svg,cycles_file,funcmix_file,funccyc_file,funccalls_file,cost_svg,note
cat1-11-ekf-i1-501853ba-1781455347,2026-06-14T16:42:27Z,cat1-estimation-control,11-ekf,measurement,1,True,800482,1022029,1.276767,32.672,cat1-estimation-control/11-ekf/elf/501853baf36a.elf,501853baf36a48dd66cb841e51362c114f59d0da158bf4ae0877e3e3d38b46cd,cat1-estimation-control/11-ekf/cat1-11-ekf-i1-501853ba-1781455347.json,cat1-estimation-control/11-ekf/cat1-11-ekf-i1-501853ba-1781455347.stats.txt,cat1-estimation-control/11-ekf/cat1-11-ekf-i1-501853ba-1781455347.opmix.txt,cat1-estimation-control/11-ekf/cat1-11-ekf-i1-501853ba-1781455347.opmix.svg,cat1-estimation-control/11-ekf/cat1-11-ekf-i1-501853ba-1781455347.cycles.txt,cat1-estimation-control/11-ekf/cat1-11-ekf-i1-501853ba-1781455347.funcmix.txt,cat1-estimation-control/11-ekf/cat1-11-ekf-i1-501853ba-1781455347.funccyc.txt,cat1-estimation-control/11-ekf/cat1-11-ekf-i1-501853ba-1781455347.funccalls.txt,cat1-estimation-control/11-ekf/cat1-11-ekf-i1-501853ba-1781455347.cost.svg,EKF predict x1; full axes + derived runtime-cost chart
cat1-11-ekf-i11-30c66b67-1781455351,2026-06-14T16:42:31Z,cat1-estimation-control,11-ekf,measurement,11,True,2760178,3785577,1.371497,17.201,cat1-estimation-control/11-ekf/elf/30c66b670cff.elf,30c66b670cff52a67015daa02affff049c5867b12ff0e85f143c3fd28366c15f,cat1-estimation-control/11-ekf/cat1-11-ekf-i11-30c66b67-1781455351.json,cat1-estimation-control/11-ekf/cat1-11-ekf-i11-30c66b67-1781455351.stats.txt,cat1-estimation-control/11-ekf/cat1-11-ekf-i11-30c66b67-1781455351.opmix.txt,cat1-estimation-control/11-ekf/cat1-11-ekf-i11-30c66b67-1781455351.opmix.svg,cat1-estimation-control/11-ekf/cat1-11-ekf-i11-30c66b67-1781455351.cycles.txt,cat1-estimation-control/11-ekf/cat1-11-ekf-i11-30c66b67-1781455351.funcmix.txt,cat1-estimation-control/11-ekf/cat1-11-ekf-i11-30c66b67-1781455351.funccyc.txt,cat1-estimation-control/11-ekf/cat1-11-ekf-i11-30c66b67-1781455351.funccalls.txt,cat1-estimation-control/11-ekf/cat1-11-ekf-i11-30c66b67-1781455351.cost.svg,EKF predict x11; full axes + derived runtime-cost chart
cat1-12-ahrs-i1-21959139-1781455743,2026-06-14T16:49:03Z,cat1-estimation-control,12-ahrs,measurement,1,True,17133,23257,1.357439,20.77,cat1-estimation-control/12-ahrs/elf/2195913942e8.elf,2195913942e8aa2b9a4cbc87b308f213d72e7fce5f69c1c63b7955887f37d7b2,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i1-21959139-1781455743.json,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i1-21959139-1781455743.stats.txt,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i1-21959139-1781455743.opmix.txt,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i1-21959139-1781455743.opmix.svg,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i1-21959139-1781455743.cycles.txt,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i1-21959139-1781455743.funcmix.txt,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i1-21959139-1781455743.funccyc.txt,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i1-21959139-1781455743.funccalls.txt,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i1-21959139-1781455743.cost.svg,Madgwick IMU update x1; fp32+invSqrt; compute-bound contrast to EKF
cat1-12-ahrs-i11-ceaa8cd4-1781455747,2026-06-14T16:49:07Z,cat1-estimation-control,12-ahrs,measurement,11,True,180818,247431,1.368398,22.833,cat1-estimation-control/12-ahrs/elf/ceaa8cd48189.elf,ceaa8cd481897a4aa1e4af8cf7da16fcefcdedf7a77153181e393157bd8a5589,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i11-ceaa8cd4-1781455747.json,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i11-ceaa8cd4-1781455747.stats.txt,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i11-ceaa8cd4-1781455747.opmix.txt,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i11-ceaa8cd4-1781455747.opmix.svg,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i11-ceaa8cd4-1781455747.cycles.txt,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i11-ceaa8cd4-1781455747.funcmix.txt,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i11-ceaa8cd4-1781455747.funccyc.txt,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i11-ceaa8cd4-1781455747.funccalls.txt,cat1-estimation-control/12-ahrs/cat1-12-ahrs-i11-ceaa8cd4-1781455747.cost.svg,Madgwick IMU update x11; fp32+invSqrt; compute-bound contrast to EKF
cat1-13-quaternion-i1-ec386a4d-1781455886,2026-06-14T16:51:26Z,cat1-estimation-control,13-quaternion,measurement,1,True,16185,21512,1.329132,14.488,cat1-estimation-control/13-quaternion/elf/ec386a4dde9a.elf,ec386a4dde9ad9efe6425638aec6c5f02a6575c5cce7a46bb52451b4e967a2a0,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i1-ec386a4d-1781455886.json,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i1-ec386a4d-1781455886.stats.txt,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i1-ec386a4d-1781455886.opmix.txt,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i1-ec386a4d-1781455886.opmix.svg,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i1-ec386a4d-1781455886.cycles.txt,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i1-ec386a4d-1781455886.funcmix.txt,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i1-ec386a4d-1781455886.funccyc.txt,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i1-ec386a4d-1781455886.funccalls.txt,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i1-ec386a4d-1781455886.cost.svg,quat mul/normalize/rotate/dcm chain x1; fp32+invSqrt
cat1-13-quaternion-i11-0908da41-1781455890,2026-06-14T16:51:30Z,cat1-estimation-control,13-quaternion,measurement,11,True,120144,172229,1.433521,12.195,cat1-estimation-control/13-quaternion/elf/0908da414b8b.elf,0908da414b8bcd16dc77d76362e0776a9b1948a47fbf7f2ef9175f96c5196471,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i11-0908da41-1781455890.json,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i11-0908da41-1781455890.stats.txt,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i11-0908da41-1781455890.opmix.txt,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i11-0908da41-1781455890.opmix.svg,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i11-0908da41-1781455890.cycles.txt,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i11-0908da41-1781455890.funcmix.txt,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i11-0908da41-1781455890.funccyc.txt,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i11-0908da41-1781455890.funccalls.txt,cat1-estimation-control/13-quaternion/cat1-13-quaternion-i11-0908da41-1781455890.cost.svg,quat mul/normalize/rotate/dcm chain x11; fp32+invSqrt
cat1-14-control-pid-i1-2a48d060-1781456010,2026-06-14T16:53:30Z,cat1-estimation-control,14-control-pid,measurement,1,True,12965,15962,1.231161,14.307,cat1-estimation-control/14-control-pid/elf/2a48d060e9cb.elf,2a48d060e9cb3975c6f96cf8b6899fe5087e6797a43a3763713791940a215f82,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i1-2a48d060-1781456010.json,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i1-2a48d060-1781456010.stats.txt,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i1-2a48d060-1781456010.opmix.txt,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i1-2a48d060-1781456010.opmix.svg,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i1-2a48d060-1781456010.cycles.txt,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i1-2a48d060-1781456010.funcmix.txt,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i1-2a48d060-1781456010.funccyc.txt,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i1-2a48d060-1781456010.funccalls.txt,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i1-2a48d060-1781456010.cost.svg,3-axis PID + plant x1
cat1-14-control-pid-i11-4871b99c-1781456014,2026-06-14T16:53:34Z,cat1-estimation-control,14-control-pid,measurement,11,True,77411,104403,1.348684,10.257,cat1-estimation-control/14-control-pid/elf/4871b99cf85b.elf,4871b99cf85ba2dc886af2754e18ed26335d0bc0dc916920c202ad57a063c019,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i11-4871b99c-1781456014.json,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i11-4871b99c-1781456014.stats.txt,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i11-4871b99c-1781456014.opmix.txt,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i11-4871b99c-1781456014.opmix.svg,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i11-4871b99c-1781456014.cycles.txt,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i11-4871b99c-1781456014.funcmix.txt,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i11-4871b99c-1781456014.funccyc.txt,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i11-4871b99c-1781456014.funccalls.txt,cat1-estimation-control/14-control-pid/cat1-14-control-pid-i11-4871b99c-1781456014.cost.svg,3-axis PID + plant x11
cat1-15-control-allocation-i1-774cadeb-1781456018,2026-06-14T16:53:38Z,cat1-estimation-control,15-control-allocation,measurement,1,True,9429,11708,1.241701,12.606,cat1-estimation-control/15-control-allocation/elf/774cadeb7b26.elf,774cadeb7b26949cc18de140abfdf4eb3c44cfc038384d58f52e3e8b5643dcd5,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i1-774cadeb-1781456018.json,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i1-774cadeb-1781456018.stats.txt,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i1-774cadeb-1781456018.opmix.txt,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i1-774cadeb-1781456018.opmix.svg,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i1-774cadeb-1781456018.cycles.txt,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i1-774cadeb-1781456018.funcmix.txt,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i1-774cadeb-1781456018.funccyc.txt,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i1-774cadeb-1781456018.funccalls.txt,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i1-774cadeb-1781456018.cost.svg,quad-X mixer mat-vec+clamp x1
cat1-15-control-allocation-i11-ceac6e4a-1781456022,2026-06-14T16:53:42Z,cat1-estimation-control,15-control-allocation,measurement,11,True,49862,68351,1.370803,11.413,cat1-estimation-control/15-control-allocation/elf/ceac6e4af0d2.elf,ceac6e4af0d2be80d153b993bf0df45a7b9290830c1884acdce43a60d9f01c61,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i11-ceac6e4a-1781456022.json,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i11-ceac6e4a-1781456022.stats.txt,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i11-ceac6e4a-1781456022.opmix.txt,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i11-ceac6e4a-1781456022.opmix.svg,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i11-ceac6e4a-1781456022.cycles.txt,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i11-ceac6e4a-1781456022.funcmix.txt,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i11-ceac6e4a-1781456022.funccyc.txt,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i11-ceac6e4a-1781456022.funccalls.txt,cat1-estimation-control/15-control-allocation/cat1-15-control-allocation-i11-ceac6e4a-1781456022.cost.svg,quad-X mixer mat-vec+clamp x11
